lh_gm_vol_0,lh_gm_vol_1,lh_gm_vol_2,lh_gm_vol_3,lh_gm_vol_4,lh_gm_vol_5,lh_gm_vol_6,lh_gm_vol_7,lh_gm_vol_8,lh_gm_vol_9,lh_gm_vol_10,lh_gm_vol_11,lh_gm_vol_12,lh_gm_vol_13,lh_gm_vol_14,lh_gm_vol_15,lh_gm_vol_16,lh_gm_vol_17,lh_gm_vol_18,lh_gm_vol_19,lh_gm_vol_20,lh_gm_vol_21,lh_gm_vol_22,lh_gm_vol_23,lh_gm_vol_24,lh_gm_vol_25,lh_gm_vol_26,lh_gm_vol_27,lh_gm_vol_28,lh_gm_vol_29,lh_gm_vol_30,lh_gm_vol_31,lh_gm_vol_32,lh_gm_vol_33,rh_gm_vol_0,rh_gm_vol_1,rh_gm_vol_2,rh_gm_vol_3,rh_gm_vol_4,rh_gm_vol_5,rh_gm_vol_6,rh_gm_vol_7,rh_gm_vol_8,rh_gm_vol_9,rh_gm_vol_10,rh_gm_vol_11,rh_gm_vol_12,rh_gm_vol_13,rh_gm_vol_14,rh_gm_vol_15,rh_gm_vol_16,rh_gm_vol_17,rh_gm_vol_18,rh_gm_vol_19,rh_gm_vol_20,rh_gm_vol_21,rh_gm_vol_22,rh_gm_vol_23,rh_gm_vol_24,rh_gm_vol_25,rh_gm_vol_26,rh_gm_vol_27,rh_gm_vol_28,rh_gm_vol_29,rh_gm_vol_30,rh_gm_vol_31,rh_gm_vol_32,rh_gm_vol_33,volume_paths
3322,1522,8159,3772,2227,12452,14119,12263,3179,13066,8560,7531,5621,12533,2548,4519,6305,2422,4134,3101,10538,3791,13342,10430,3311,16206,28075,13155,12325,10977,972,2570,1656,9156,2931,2146,6545,3808,1498,10469,15985,12635,2730,12068,9066,8031,6736,14656,1998,4729,5511,3552,5231,3368,9765,3863,14124,12093,2054,19115,26049,13617,13256,11841,1014,2403,1499,8898,/data/users2/kwang26/aibm_hcp_normalized/120111_3T_T1w_MPR1.nii.gz
2208,2600,5017,3665,1889,10037,10795,10550,2224,11545,6264,8005,5246,10686,1976,2746,4545,1905,3745,2595,9511,3472,13052,9599,3214,15148,19770,12505,10292,11054,931,2199,1015,6101,2089,2265,6089,3822,1855,8472,16728,10763,2007,10051,6414,8334,5262,11139,2343,3753,3670,2963,3374,3478,8332,3912,12790,9237,2016,15892,20288,14634,10059,9394,1185,2186,879,5737,/data/users2/kwang26/aibm_hcp_normalized/748258_3T_T1w_MPR1.nii.gz
4249,3033,7839,3903,2785,15974,17253,14691,4345,14638,10635,9913,6975,14528,4069,4267,6131,2676,4697,3270,13305,4150,18937,12967,4039,21704,29547,16408,15131,12401,696,2597,1401,7899,3320,1982,8428,3579,2170,13151,20425,15026,3242,14293,9930,10537,6557,17750,3328,5817,6392,3300,5016,3949,12318,3935,19122,14106,2771,21253,31487,17050,15817,12299,1252,2341,1083,8523,/data/users2/kwang26/aibm_hcp_normalized/105216_3T_T1w_MPR1.nii.gz
2216,1503,4642,2918,2068,9356,9654,8636,2359,9806,6660,6700,5338,8570,2145,2861,5236,1538,3482,2919,8299,2247,11297,8820,2108,14702,19938,11331,11549,9075,604,2182,1222,5841,1961,3459,4230,2922,2166,8406,11927,8584,2640,10730,6377,5451,4807,10337,1969,2955,3703,2446,4957,2651,8220,3285,11976,9839,2345,13547,18785,12776,10366,10201,831,2275,1091,6909,/data/users2/kwang26/aibm_hcp_normalized/101006_3T_T1w_MPR1.nii.gz
2309,1633,6754,2792,1528,10941,13928,12077,3113,10974,8172,6129,5251,9297,2735,3531,5512,1970,2539,2278,9316,3168,13502,12101,2644,15418,19970,12521,12480,12860,652,1935,1416,6980,2281,2244,6160,3680,1567,10167,14468,12365,2246,9950,7584,7525,5118,11731,2248,4405,4762,2491,4015,2744,9437,3091,12601,11371,2736,15233,20913,13690,12082,11416,962,1640,1063,6942,/data/users2/kwang26/aibm_hcp_normalized/896778_3T_T1w_MPR1.nii.gz
2824,1900,6735,3215,1891,11756,14850,12091,3152,12870,8695,8872,5544,12480,2082,3407,4924,2558,4205,2609,10782,3576,13437,11606,3078,17317,23921,12166,11044,9694,844,2346,1105,7570,2266,1748,5894,3684,1227,11243,16303,12678,2226,12793,7362,8609,5098,13754,2001,4596,5620,2826,3994,3365,9805,4013,13841,12253,2512,18391,23998,12520,11852,10024,1303,2003,1160,7602,/data/users2/kwang26/aibm_hcp_normalized/583858_3T_T1w_MPR1.nii.gz
2319,1977,6729,3606,1552,10179,12095,8202,3079,11786,7397,7381,4950,9447,1823,3788,4996,1929,2819,2728,9603,3687,13737,8954,2944,14641,22764,14131,12680,9228,635,2090,1004,6618,2580,1922,6985,4178,1016,9320,13353,7573,2360,11073,6561,7540,5256,12223,1711,4323,4935,2544,3367,3244,9391,3203,13511,10234,2450,16793,22082,14961,12675,9296,831,1815,981,6805,/data/users2/kwang26/aibm_hcp_normalized/412528_3T_T1w_MPR1.nii.gz
3075,2239,8105,3610,1864,12304,17721,13886,3069,12564,9576,9042,7140,13782,2086,4849,7001,2368,4175,3442,11064,3985,18384,11963,3536,23339,28528,15854,14362,13570,880,1972,1706,8426,2996,3869,8029,4223,1493,11974,18995,12924,3581,14257,9734,7364,6183,13600,1893,6908,4727,3088,6914,3905,10869,4959,19913,12698,2615,23284,27513,17627,15309,13521,1300,2166,1360,8856,/data/users2/kwang26/aibm_hcp_normalized/146432_3T_T1w_MPR1.nii.gz
2229,2378,8561,3798,1871,10067,14403,11653,2321,13918,9347,8515,5291,12002,2253,4406,6869,2294,4633,2348,11650,3487,15629,10044,3719,16208,24468,13111,12280,12322,884,2585,1696,7651,2583,2516,7254,3480,1667,10812,17191,10771,2514,13919,8277,8204,6195,11947,2006,4827,5939,3025,4412,2816,11511,3788,16979,12228,2524,16218,23485,13752,11686,11052,1148,2194,1379,7520,/data/users2/kwang26/aibm_hcp_normalized/673455_3T_T1w_MPR1.nii.gz
3663,2132,10048,4300,2039,14635,14823,14168,3255,14515,9489,9734,6268,14477,2495,4182,6136,2695,5062,3246,12294,4690,15557,11568,3217,18949,29008,15105,15360,12988,1102,2885,1631,9848,3957,2881,6802,4302,2108,12222,19337,12625,3318,14386,9527,10909,7062,16176,2422,4653,4960,3395,6392,4105,11720,4056,16777,12422,2800,20299,26885,15491,15799,12239,1300,2384,1255,9670,/data/users2/kwang26/aibm_hcp_normalized/150019_3T_T1w_MPR1.nii.gz
3389,3133,6726,3958,2331,12242,14210,14190,2348,16108,9354,8141,6617,13860,2338,3382,5577,2388,5212,3103,11269,3619,16839,11200,4029,20636,28275,15027,15277,12999,925,2516,2101,8103,2940,2731,6650,4551,2043,11583,16869,12974,2427,13893,9278,8780,6235,14092,2616,4903,4260,3258,4478,3295,10714,3303,17909,11018,2674,21464,30006,16431,15571,14488,1365,2300,1276,8393,/data/users2/kwang26/aibm_hcp_normalized/814649_3T_T1w_MPR1.nii.gz
2723,2651,5433,3866,2095,11330,13306,9978,2546,11932,6329,7264,5057,9479,2155,3046,4041,1843,3292,2482,10136,3274,13660,9988,2951,14628,19591,12678,12425,10065,675,2116,1112,6890,2372,3141,6337,3279,1329,9128,15419,8748,3100,12886,6553,6879,5360,11933,1914,3713,3574,2369,3759,2798,9689,3802,14206,10077,2071,15517,18813,11905,13815,10803,827,2146,970,7269,/data/users2/kwang26/aibm_hcp_normalized/123420_3T_T1w_MPR1.nii.gz
2939,1868,6916,2620,1358,11529,14777,11989,2951,8815,7544,4158,5641,11159,1920,3212,5619,1944,4509,1776,8590,3298,11474,11407,3209,16608,23830,13112,14233,10850,758,2234,1322,7614,3111,3008,5892,2640,1127,9831,17997,10908,2096,9267,8278,4979,5959,13193,1804,3983,4327,2398,4944,1955,8943,3337,12298,12385,2848,19854,21390,12956,14994,11110,992,1855,1253,8152,/data/users2/kwang26/aibm_hcp_normalized/480141_3T_T1w_MPR1.nii.gz
2761,1964,7526,3255,1851,13146,13348,12889,2520,11902,7709,8807,5192,11869,2059,3199,6220,1896,4149,2920,10146,3213,14618,10627,2725,13524,22665,14132,12509,10960,851,2452,1311,6740,3283,2049,6905,3458,1455,11635,17882,8706,2598,11876,7681,8782,5023,15298,1979,3828,5185,2657,3577,3214,9210,4021,14156,10954,2425,16656,21183,14970,12077,10249,756,2456,1060,6496,/data/users2/kwang26/aibm_hcp_normalized/101915_3T_T1w_MPR1.nii.gz
4071,4000,9024,4934,1785,12556,13251,13839,3623,14726,9437,10450,6165,14017,3245,5381,6795,2851,4893,3702,14541,4296,15211,13644,5105,25494,29421,15430,16869,16436,931,2340,1607,7694,3159,3572,8612,4857,1795,12514,20577,14610,3197,15207,9871,10563,8313,17200,2987,4642,5337,3251,4950,4771,12281,4149,17569,15893,3198,23194,29494,17210,16225,12068,977,2079,1271,7915,/data/users2/kwang26/aibm_hcp_normalized/214423_3T_T1w_MPR1.nii.gz
3652,2016,8688,3599,2664,11583,14884,13229,3062,13935,9353,8590,5985,12032,2898,3385,6441,2880,4473,2835,12837,3975,15402,11814,3556,18588,28876,15004,17472,15902,679,2194,1957,8424,3061,2278,7701,3415,1918,12119,19080,13399,2953,14131,9843,8422,6580,14431,2662,3730,5863,2922,5990,3601,11112,4115,16086,12726,2171,20851,27082,14700,16347,15101,1116,1858,1614,8786,/data/users2/kwang26/aibm_hcp_normalized/130417_3T_T1w_MPR1.nii.gz
2050,1589,4404,2421,1377,8647,10804,8123,2675,9543,7022,5280,5544,8822,1774,2878,4286,1886,2981,1935,8782,3032,12562,8156,1999,15406,21388,10652,11647,9604,684,2038,959,5464,2400,2326,4718,3406,1145,8290,13226,8486,2189,8507,7513,5989,5274,10013,1528,3389,3497,2362,4002,2319,8217,2852,11707,9060,2011,15519,19189,11391,9700,8816,1021,2483,1074,6347,/data/users2/kwang26/aibm_hcp_normalized/293748_3T_T1w_MPR1.nii.gz
3709,1885,7911,3166,2429,11820,14698,13067,3847,10892,9020,9143,6991,13113,2279,3710,6475,2376,4019,2797,10796,4428,14980,11653,3136,14595,27185,14727,16070,13455,478,2707,1624,7521,2697,1896,6928,3513,1136,10373,18405,13760,3446,12368,8717,9019,6511,15336,2050,4154,4755,2590,4993,3142,9819,3965,14864,11678,1899,17185,26649,14925,15642,11821,875,2399,1395,8423,/data/users2/kwang26/aibm_hcp_normalized/145531_3T_T1w_MPR1.nii.gz
3538,1980,7207,1955,1600,12093,19258,13776,3285,11664,9521,8611,4948,13020,2660,3799,4906,2329,4391,1434,11208,3324,13205,11523,3145,19509,26073,14003,16037,15093,754,2309,1590,7046,3198,3065,5394,3331,1681,12932,19374,14296,2683,12216,8165,7964,6266,14199,2412,3817,3917,2910,5090,2941,10867,4403,16126,11834,1774,20439,24903,13968,13099,15164,980,2047,1116,7711,/data/users2/kwang26/aibm_hcp_normalized/308331_3T_T1w_MPR1.nii.gz
3837,1995,6286,3180,1784,12787,16830,13080,3313,13746,9618,9598,6592,11937,3055,4021,6637,2750,4427,3184,12008,3766,15366,11485,3382,21734,27065,14055,14552,12971,839,2930,1800,8714,3612,3170,8248,3494,1564,14466,19627,12589,2545,12536,9493,8882,6278,14904,2818,5393,4651,3238,5830,3762,11985,4019,17518,13068,3240,19506,25833,14882,14327,14355,1158,2566,1155,8487,/data/users2/kwang26/aibm_hcp_normalized/109325_3T_T1w_MPR1.nii.gz
3401,3196,8379,3515,1643,11924,14280,11103,3050,10957,7717,7852,6493,11432,2200,3749,5214,2581,4195,3156,9836,3603,16158,10143,3168,18164,24925,12144,12671,10839,915,2100,1501,7512,3212,2474,7305,3989,1571,10100,20807,10100,2879,12441,7677,8215,6278,13004,2289,4400,5218,1868,4616,3846,9163,3193,15965,10569,1825,20131,25468,12854,12794,8483,1255,2268,867,7669,/data/users2/kwang26/aibm_hcp_normalized/115825_3T_T1w_MPR1.nii.gz
2605,2903,5538,4041,1923,11861,12610,11096,2743,13440,9479,8557,6850,14876,2247,4909,5894,2645,4217,3263,11347,4489,15635,10711,4106,20324,27235,15646,14754,12377,831,2650,1789,7423,3233,2611,6774,3231,1864,11399,14313,11150,2745,15636,8620,7708,6324,16328,2009,4031,4363,2562,5152,3299,11816,3457,16348,11337,3373,20361,25518,16454,14349,13147,1461,2572,833,7364,/data/users2/kwang26/aibm_hcp_normalized/894774_3T_T1w_MPR1.nii.gz
